product_key,product_id,product_number,product_name,category_id,category,subcategory,maintenance,product_cost,product_line,start_date
1,210,FR-R92B-58,HL Road Frame - Black- 58,CO_RF,Components,Road Frames,Yes,0,Road,01-07-2003
2,211,FR-R92R-58,HL Road Frame - Red- 58,CO_RF,Components,Road Frames,Yes,0,Road,01-07-2003
3,212,HL-U509-R,Sport-100 Helmet- Red,AC_HE,Accessories,Helmets,Yes,12,Other Sales,01-07-2011
4,213,HL-U509-R,Sport-100 Helmet- Red,AC_HE,Accessories,Helmets,Yes,14,Other Sales,01-07-2012
5,214,HL-U509-R,Sport-100 Helmet- Red,AC_HE,Accessories,Helmets,Yes,13,Other Sales,01-07-2013
6,215,HL-U509,Sport-100 Helmet- Black,AC_HE,Accessories,Helmets,Yes,12,Other Sales,01-07-2011
7,216,HL-U509,Sport-100 Helmet- Black,AC_HE,Accessories,Helmets,Yes,14,Other Sales,01-07-2012
8,217,HL-U509,Sport-100 Helmet- Black,AC_HE,Accessories,Helmets,Yes,13,Other Sales,01-07-2013
9,218,SO-B909-M,Mountain Bike Socks- M,CL_SO,Clothing,Socks,No,3,Mountain,01-07-2011
10,219,SO-B909-L,Mountain Bike Socks- L,CL_SO,Clothing,Socks,No,3,Mountain,01-07-2011
11,220,HL-U509-B,Sport-100 Helmet- Blue,AC_HE,Accessories,Helmets,Yes,12,Other Sales,01-07-2011
12,221,HL-U509-B,Sport-100 Helmet- Blue,AC_HE,Accessories,Helmets,Yes,14,Other Sales,01-07-2012
13,222,HL-U509-B,Sport-100 Helmet- Blue,AC_HE,Accessories,Helmets,Yes,13,Other Sales,01-07-2013
14,223,CA-1098,AWC Logo Cap,CL_CA,Clothing,Caps,No,6,Other Sales,01-07-2011
15,224,CA-1098,AWC Logo Cap,CL_CA,Clothing,Caps,No,5,Other Sales,01-07-2012
16,225,CA-1098,AWC Logo Cap,CL_CA,Clothing,Caps,No,7,Other Sales,01-07-2013
17,226,LJ-0192-S,Long-Sleeve Logo Jersey- S,CL_JE,Clothing,Jerseys,No,32,Other Sales,01-07-2011
18,227,LJ-0192-S,Long-Sleeve Logo Jersey- S,CL_JE,Clothing,Jerseys,No,29,Other Sales,01-07-2012
19,228,LJ-0192-S,Long-Sleeve Logo Jersey- S,CL_JE,Clothing,Jerseys,No,38,Other Sales,01-07-2013
20,229,LJ-0192-M,Long-Sleeve Logo Jersey- M,CL_JE,Clothing,Jerseys,No,32,Other Sales,01-07-2011
21,230,LJ-0192-M,Long-Sleeve Logo Jersey- M,CL_JE,Clothing,Jerseys,No,29,Other Sales,01-07-2012
22,231,LJ-0192-M,Long-Sleeve Logo Jersey- M,CL_JE,Clothing,Jerseys,No,38,Other Sales,01-07-2013
23,232,LJ-0192-L,Long-Sleeve Logo Jersey- L,CL_JE,Clothing,Jerseys,No,32,Other Sales,01-07-2011
24,233,LJ-0192-L,Long-Sleeve Logo Jersey- L,CL_JE,Clothing,Jerseys,No,29,Other Sales,01-07-2012
25,234,LJ-0192-L,Long-Sleeve Logo Jersey- L,CL_JE,Clothing,Jerseys,No,38,Other Sales,01-07-2013
26,235,LJ-0192-X,Long-Sleeve Logo Jersey- XL,CL_JE,Clothing,Jerseys,No,32,Other Sales,01-07-2011
27,236,LJ-0192-X,Long-Sleeve Logo Jersey- XL,CL_JE,Clothing,Jerseys,No,29,Other Sales,01-07-2012
28,237,LJ-0192-X,Long-Sleeve Logo Jersey- XL,CL_JE,Clothing,Jerseys,No,38,Other Sales,01-07-2013
29,238,FR-R92R-62,HL Road Frame - Red- 62,CO_RF,Components,Road Frames,Yes,748,Road,01-07-2011
30,239,FR-R92R-62,HL Road Frame - Red- 62,CO_RF,Components,Road Frames,Yes,722,Road,01-07-2012
31,240,FR-R92R-62,HL Road Frame - Red- 62,CO_RF,Components,Road Frames,Yes,869,Road,01-07-2013
32,241,FR-R92R-44,HL Road Frame - Red- 44,CO_RF,Components,Road Frames,Yes,748,Road,01-07-2011
33,242,FR-R92R-44,HL Road Frame - Red- 44,CO_RF,Components,Road Frames,Yes,722,Road,01-07-2012
34,243,FR-R92R-44,HL Road Frame - Red- 44,CO_RF,Components,Road Frames,Yes,869,Road,01-07-2013
35,244,FR-R92R-48,HL Road Frame - Red- 48,CO_RF,Components,Road Frames,Yes,748,Road,01-07-2011
36,245,FR-R92R-48,HL Road Frame - Red- 48,CO_RF,Components,Road Frames,Yes,722,Road,01-07-2012
37,246,FR-R92R-48,HL Road Frame - Red- 48,CO_RF,Components,Road Frames,Yes,869,Road,01-07-2013
38,247,FR-R92R-52,HL Road Frame - Red- 52,CO_RF,Components,Road Frames,Yes,748,Road,01-07-2011
39,248,FR-R92R-52,HL Road Frame - Red- 52,CO_RF,Components,Road Frames,Yes,722,Road,01-07-2012
40,249,FR-R92R-52,HL Road Frame - Red- 52,CO_RF,Components,Road Frames,Yes,869,Road,01-07-2013
41,250,FR-R92R-56,HL Road Frame - Red- 56,CO_RF,Components,Road Frames,Yes,748,Road,01-07-2011
42,251,FR-R92R-56,HL Road Frame - Red- 56,CO_RF,Components,Road Frames,Yes,722,Road,01-07-2012
43,252,FR-R92R-56,HL Road Frame - Red- 56,CO_RF,Components,Road Frames,Yes,869,Road,01-07-2013
44,253,FR-R38B-58,LL Road Frame - Black- 58,CO_RF,Components,Road Frames,Yes,176,Road,01-07-2011
