order_number,product_key,customer_key,price,quantity,sales_amount,order_date,shipment_date,due_date
SO43697,101,10769,3578,1,3578,29-12-2010,05-01-2011,10-01-2011
SO43698,137,17390,3400,1,3400,29-12-2010,05-01-2011,10-01-2011
SO43699,137,14864,3400,1,3400,29-12-2010,05-01-2011,10-01-2011
SO43700,127,3502,699,1,699,29-12-2010,05-01-2011,10-01-2011
SO43700,128,3502,699,1,699,29-12-2010,05-01-2011,10-01-2011
SO43701,137,4,3400,1,3400,29-12-2010,05-01-2011,10-01-2011
SO43702,102,16646,3578,1,3578,30-12-2010,06-01-2011,11-01-2011
SO43703,101,5625,3578,1,3578,30-12-2010,06-01-2011,11-01-2011
SO43704,142,6,3375,1,3375,30-12-2010,06-01-2011,11-01-2011
SO43705,135,12,3400,1,3400,30-12-2010,06-01-2011,11-01-2011
SO43706,103,16622,3578,1,3578,31-12-2010,07-01-2011,12-01-2011
SO43707,103,16617,3578,1,3578,31-12-2010,07-01-2011,12-01-2011
SO43708,121,9043,699,1,699,31-12-2010,07-01-2011,12-01-2011
SO43708,122,9043,699,1,699,31-12-2010,07-01-2011,12-01-2011
SO43709,104,5352,3578,1,3578,31-12-2010,07-01-2011,12-01-2011
SO43710,105,5518,3578,1,3578,31-12-2010,07-01-2011,12-01-2011
SO43711,105,16607,3578,1,3578,01-01-2011,08-01-2011,13-01-2011
SO43712,102,2514,3578,1,3578,01-01-2011,08-01-2011,13-01-2011
SO43713,101,16602,3578,1,3578,02-01-2011,09-01-2011,14-01-2011
SO43714,102,2592,3578,1,3578,02-01-2011,09-01-2011,14-01-2011
SO43715,105,5484,3578,1,3578,02-01-2011,09-01-2011,14-01-2011
SO43716,102,5530,3578,1,3578,02-01-2011,09-01-2011,14-01-2011
SO43717,127,14250,699,1,699,02-01-2011,09-01-2011,14-01-2011
SO43717,128,14250,699,1,699,02-01-2011,09-01-2011,14-01-2011
SO43718,102,16669,3578,1,3578,03-01-2011,10-01-2011,15-01-2011
SO43719,103,16613,3578,1,3578,03-01-2011,10-01-2011,15-01-2011
SO43720,102,2265,3578,1,3578,03-01-2011,10-01-2011,15-01-2011
SO43721,101,2591,3578,1,3578,03-01-2011,10-01-2011,15-01-2011
SO43722,103,2582,3578,1,3578,04-01-2011,11-01-2011,16-01-2011
SO43723,123,3521,699,1,699,04-01-2011,11-01-2011,16-01-2011
SO43723,124,3521,699,1,699,04-01-2011,11-01-2011,16-01-2011
SO43724,102,5521,3578,1,3578,04-01-2011,11-01-2011,16-01-2011
SO43725,102,2259,3578,1,3578,05-01-2011,12-01-2011,17-01-2011
SO43726,123,3561,699,1,699,05-01-2011,12-01-2011,17-01-2011
SO43726,124,3561,699,1,699,05-01-2011,12-01-2011,17-01-2011
SO43727,102,5608,3578,1,3578,05-01-2011,12-01-2011,17-01-2011
SO43728,104,16667,3578,1,3578,06-01-2011,13-01-2011,18-01-2011
SO43729,137,239,3400,1,3400,06-01-2011,13-01-2011,18-01-2011
SO43730,137,14862,3400,1,3400,06-01-2011,13-01-2011,18-01-2011
SO43731,105,5630,3578,1,3578,06-01-2011,13-01-2011,18-01-2011
SO43732,141,26,3375,1,3375,06-01-2011,13-01-2011,18-01-2011
SO43733,103,16578,3578,1,3578,06-01-2011,13-01-2011,18-01-2011
SO43734,103,16605,3578,1,3578,07-01-2011,14-01-2011,19-01-2011
SO43735,101,5523,3578,1,3578,07-01-2011,14-01-2011,19-01-2011
SO43736,137,3,3400,1,3400,07-01-2011,14-01-2011,19-01-2011
SO43737,102,2262,3578,1,3578,08-01-2011,15-01-2011,20-01-2011
SO43738,103,607,3578,1,3578,08-01-2011,15-01-2011,20-01-2011
SO43739,101,2564,3578,1,3578,08-01-2011,15-01-2011,20-01-2011
SO43740,103,5528,3578,1,3578,08-01-2011,15-01-2011,20-01-2011
SO43741,101,16672,3578,1,3578,09-01-2011,16-01-2011,21-01-2011
SO43742,105,2577,3578,1,3578,09-01-2011,16-01-2011,21-01-2011
SO43743,138,8,3400,1,3400,09-01-2011,16-01-2011,21-01-2011
SO43744,104,5632,3578,1,3578,09-01-2011,16-01-2011,21-01-2011
SO43745,102,5515,3578,1,3578,10-01-2011,17-01-2011,22-01-2011
SO43746,103,5617,3578,1,3578,10-01-2011,17-01-2011,22-01-2011
SO43747,105,16624,3578,1,3578,11-01-2011,18-01-2011,23-01-2011
SO43748,104,16626,3578,1,3578,11-01-2011,18-01-2011,23-01-2011
SO43749,105,16637,3578,1,3578,11-01-2011,18-01-2011,23-01-2011
SO43750,102,592,3578,1,3578,11-01-2011,18-01-2011,23-01-2011
SO43751,104,593,3578,1,3578,11-01-2011,18-01-2011,23-01-2011
SO43752,102,2266,3578,1,3578,11-01-2011,18-01-2011,23-01-2011
SO43753,101,5483,3578,1,3578,11-01-2011,18-01-2011,23-01-2011
SO43754,103,16618,3578,1,3578,12-01-2011,19-01-2011,24-01-2011
SO43755,102,16671,3578,1,3578,12-01-2011,19-01-2011,24-01-2011
SO43756,123,8942,699,1,699,12-01-2011,19-01-2011,24-01-2011
SO43756,124,8942,699,1,699,12-01-2011,19-01-2011,24-01-2011
SO43757,141,18,3375,1,3375,12-01-2011,19-01-2011,24-01-2011
SO43758,101,16647,3578,1,3578,13-01-2011,20-01-2011,25-01-2011
SO43759,101,2258,3578,1,3578,13-01-2011,20-01-2011,25-01-2011
SO43760,105,5353,3578,1,3578,13-01-2011,20-01-2011,25-01-2011
SO43761,101,5494,3578,1,3578,13-01-2011,20-01-2011,25-01-2011
SO43762,105,16579,3578,1,3578,14-01-2011,21-01-2011,26-01-2011
